Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-15 19:14:33,0.2525179386138916,10,2,-183.19999999999922,7.234633811749518,3,10,10,20,0,0,0,0,10,3,128,0,10,8,23,34,5,0,0,38,10,15,65,54,52,38,22
2024-09-15 19:14:33,0.33511900901794434,10,1,-176.51999999999998,5.101978676393628,2,10,10,12,0,0,0,1,10,2,18,0,10,26,12,7,12,0,0,2,10,13,12,29,13,2,18
2024-09-15 19:14:33,0.48419976234436035,10,5,-165.31999999999826,10.313686110079288,0,13,13,15,0,0,0,4,10,1,20,0,10,51,9,25,37,0,0,4,13,44,28,51,11,4,21
2024-09-15 19:14:33,0.7992289066314697,10,13,-17.079999999999817,27.35497695207596,0,19,19,85,0,0,0,17,10,3,37,0,10,70,44,72,87,0,0,10,19,103,78,75,46,10,27
2024-09-15 19:14:33,1.3275680541992188,10,13,269.6000000000005,69.99559328705072,0,16,16,203,0,0,0,12,9,1,22,0,9,120,138,118,134,0,1,42,16,136,129,121,145,42,17
2024-09-15 19:14:33,1.9426929950714111,10,49,421.07999999999817,99.4629213437438,1,17,17,257,0,0,0,14,8,2,28,0,8,150,143,153,176,0,2,12,17,183,162,152,151,12,19
2024-09-15 19:14:33,2.7049551010131836,10,49,618.1999999999866,141.13045036792755,0,14,14,332,0,0,0,12,7,0,26,0,7,219,172,197,207,0,3,24,14,217,201,221,182,24,14
2024-09-15 19:14:33,3.880704879760742,10,49,834.4399999999837,175.59390682727098,0,19,19,376,0,0,0,16,4,1,24,0,4,257,236,228,215,0,6,20,19,218,234,262,242,20,23
2024-09-15 19:14:33,4.923983097076416,10,49,709.5199999999819,168.5094657242298,1,12,12,358,0,0,0,8,6,3,25,0,6,225,240,191,207,0,4,17,12,210,194,234,248,17,14
2024-09-15 19:14:33,5.797708988189697,10,46,617.1999999999832,174.50628167390823,0,17,17,331,0,0,0,14,7,1,35,0,7,209,187,220,224,0,3,12,17,234,228,217,196,12,17
2024-09-15 19:14:33,6.617691993713379,10,49,834.0799999999838,196.37469074130058,0,16,16,377,0,0,0,15,4,1,24,0,4,238,221,225,218,0,6,15,16,222,234,244,225,15,17
2024-09-15 19:14:33,7.530076026916504,10,17,606.9999999999894,174.4484738856554,0,10,10,308,0,0,0,6,6,0,26,0,6,222,204,169,200,0,4,19,10,207,175,228,209,19,12
2024-09-15 19:14:33,8.703297853469849,10,49,869.3199999999765,230.52127869427204,0,25,25,411,0,0,0,22,5,3,33,0,5,243,237,263,290,0,5,24,25,297,268,255,243,24,28
2024-09-15 19:14:33,9.535293817520142,10,49,620.159999999986,193.04594832658768,0,21,21,332,0,0,0,22,7,0,55,0,7,216,228,173,237,0,3,13,21,244,177,250,235,13,24
2024-09-15 19:14:33,10.272289991378784,10,9,618.9999999999859,173.7619737535715,0,16,16,331,0,0,0,12,7,1,17,0,7,218,205,182,215,0,3,6,16,217,186,224,209,6,17
2024-09-15 19:14:33,11.164130926132202,10,49,833.1999999999767,211.90763057768345,1,15,15,396,0,0,0,13,5,2,28,0,5,255,244,224,272,0,5,18,15,275,234,258,251,18,20
2024-09-15 19:14:33,12.5867178440094,10,10,866.2799999999783,213.60296067595482,0,21,21,391,0,0,0,21,4,0,40,0,4,274,245,230,243,0,6,16,21,254,237,290,251,16,21
2024-09-15 19:14:33,13.29188585281372,10,31,481.9999999999892,156.30984863638878,0,19,19,284,0,0,0,18,8,0,31,0,8,206,193,144,187,0,2,14,19,197,152,212,195,14,24
2024-09-15 19:14:33,14.315693855285645,10,32,603.1999999999863,182.19453006982803,0,31,31,359,0,0,0,26,9,0,28,0,9,228,202,204,221,0,1,17,31,227,213,231,206,17,37
2024-09-15 19:14:33,15.055110692977905,10,12,381.87999999999096,125.05836783349514,0,21,21,238,0,0,0,14,8,0,33,0,8,155,133,146,133,0,2,8,21,136,152,160,146,8,27
2024-09-15 19:14:33,15.915658950805664,10,25,428.1599999999939,161.55401787161827,0,24,24,277,0,0,0,17,9,1,36,0,9,165,203,206,180,0,1,8,24,183,215,169,210,8,37
2024-09-15 19:14:33,16.721064805984497,10,49,634.4799999999865,176.9006324261427,0,17,17,338,0,0,0,14,7,1,21,0,7,230,203,217,202,0,3,23,17,209,221,231,210,23,19
2024-09-15 19:14:33,17.86981987953186,10,19,606.0399999999867,171.38781301677227,1,15,15,306,0,0,0,15,6,1,32,0,6,202,185,220,199,0,4,17,15,205,236,205,192,17,15
2024-09-15 19:14:33,19.25026297569275,10,49,801.1599999999778,202.4153603464365,0,10,10,380,0,0,0,9,5,0,19,0,5,250,206,257,271,0,5,21,10,277,262,255,207,21,12
2024-09-15 19:14:33,20.350481033325195,10,22,815.479999999978,201.3961390554905,0,16,16,406,0,0,0,15,6,1,19,0,6,260,240,237,225,0,4,23,16,228,243,264,245,23,17
2024-09-15 19:14:33,21.3193519115448,10,3,702.9999999999836,205.56793101131916,0,12,12,372,0,0,0,11,7,0,31,0,7,234,238,231,257,0,3,19,12,264,239,238,249,19,13
