Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,ENEMY_POTENTIALLY_KILLED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,LAST_AGENT_STANDING,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-19 23:04:22,0.1210479736328125,10,0,-109.30000000000001,0,58,6,11,11,0,3,0,0,4,3,0,1,10,6,30,0,10,0,12,0,2,0,0,48,0,8,3,11,0,3,25,1,3,26
2024-09-19 23:04:22,1.944051742553711,10,0,-139.26000000000406,134.53143463050947,620,1,11,11,0,0,0,0,2,2,0,2,10,2,141,0,10,0,38,14,27,40,0,610,0,9,349,11,106,72,64,16,349,13
2024-09-19 23:04:22,3.66159987449646,10,0,-128.06000000000213,38.44231688370928,645,3,14,14,0,1,0,0,2,2,0,4,10,4,125,1,10,0,42,46,51,42,1,635,0,12,325,14,98,82,62,59,325,19
2024-09-19 23:04:22,8.061316013336182,10,0,-114.80000000000119,53.562443745322526,1623,2,21,21,0,4,0,0,14,12,0,12,10,4,178,2,10,0,328,191,247,340,1,1613,0,9,318,21,366,341,366,208,318,24
2024-09-19 23:04:22,11.955368757247925,10,0,-104.92000000000144,34.55559264664771,1454,2,15,15,0,5,0,1,12,11,0,6,9,4,206,1,9,0,198,255,266,190,0,1446,1,5,325,15,218,335,220,333,325,24
2024-09-19 23:04:22,16.36355495452881,10,0,-80.36000000000074,39.06820094684372,1540,1,23,23,1,3,0,0,5,5,1,14,9,4,96,3,9,0,180,329,365,152,3,1532,1,16,396,23,178,388,204,349,396,26
2024-09-19 23:04:22,19.437692880630493,10,0,-92.03999999999975,26.268947353964904,1065,1,13,13,0,5,0,0,8,7,0,4,9,1,58,0,9,0,231,160,144,233,0,1057,1,7,227,13,241,172,240,172,227,14
2024-09-19 23:04:22,23.46920394897461,10,0,-87.68000000000124,45.93476265814388,1527,0,27,27,0,10,0,1,14,14,1,19,9,3,172,2,9,0,225,273,308,221,2,1519,1,14,302,27,242,380,283,281,302,40
2024-09-19 23:04:22,29.30893087387085,10,0,-77.4999999999999,58.411411324632354,2061,0,26,26,0,6,0,0,12,12,0,18,8,1,166,2,8,0,344,315,368,414,2,2055,2,15,430,26,451,410,393,350,430,29
2024-09-19 23:04:22,32.38917589187622,10,5,-81.9000000000021,34.64591257250868,1118,4,24,24,1,7,0,1,16,15,1,15,10,4,98,3,10,0,228,102,168,251,3,1108,0,13,247,24,286,193,252,111,247,29
2024-09-19 23:04:22,40.463095903396606,10,0,-36.54000000000068,81.8964832975762,2819,1,40,40,0,9,0,0,14,13,0,37,4,1,227,0,4,0,498,529,604,503,0,2821,6,29,424,40,537,708,569,544,424,43
2024-09-19 23:04:22,46.80454897880554,10,0,-42.000000000000476,58.958426133263856,2144,0,34,34,1,6,0,0,17,17,0,30,7,1,97,2,7,0,295,493,503,336,2,2140,3,20,389,34,356,540,320,504,389,38
2024-09-19 23:04:22,50.589181900024414,10,0,-49.1400000000002,39.67723905044841,1295,0,39,40,0,17,0,0,24,22,1,32,9,3,60,3,9,0,229,259,265,243,3,1287,1,19,201,39,252,292,241,264,201,46
2024-09-19 23:04:22,56.22697186470032,10,0,20.919999999999717,62.14583965251222,1958,0,37,37,3,15,0,0,23,23,2,31,7,0,108,6,7,0,365,334,352,396,6,1954,3,12,369,37,412,393,389,356,369,42
2024-09-19 23:04:22,61.75962591171265,10,6,55.90000000000032,65.57937188469805,1971,0,54,54,6,22,0,0,44,43,2,49,6,5,128,5,6,0,322,405,397,375,5,1969,4,12,294,54,388,440,359,425,294,69
2024-09-19 23:04:22,65.06883692741394,10,6,-47.040000000000816,44.46127128927037,1281,0,36,36,5,13,0,0,25,24,0,27,9,3,177,4,9,0,146,323,308,147,4,1273,1,12,145,36,169,322,180,420,145,46
2024-09-19 23:04:22,70.34334588050842,10,2,-16.880000000000116,58.36431533342693,1649,0,52,52,9,18,0,1,37,36,0,45,8,2,165,3,8,0,266,316,367,302,3,1643,2,17,183,52,363,399,317,331,183,58
2024-09-19 23:04:22,77.99438691139221,10,6,0.44000000000008477,85.11615330039058,2425,0,63,63,7,23,0,1,36,33,2,57,6,2,150,2,6,0,363,496,497,416,2,2423,4,30,444,63,459,525,419,516,444,66
2024-09-19 23:04:22,85.50256991386414,10,0,127.4799999999993,93.26394101721235,2664,0,76,73,9,23,0,0,58,59,1,71,4,4,137,7,4,0,452,586,605,497,7,2666,6,16,317,76,534,632,477,627,317,83
2024-09-19 23:04:22,90.59787273406982,10,6,53.27999999999973,69.43212571367621,1840,2,55,55,6,23,0,0,36,35,0,49,6,6,159,7,6,0,369,296,312,356,7,1838,4,22,297,55,408,338,403,334,297,64
2024-09-19 23:04:22,97.45658993721008,10,12,121.539999999999,92.76029594987631,2459,2,75,75,14,30,0,0,59,56,1,70,7,6,130,11,7,0,543,497,457,524,11,2455,3,18,236,75,547,498,577,526,236,78
2024-09-19 23:04:22,100.41552495956421,10,0,-47.88000000000031,42.01081639458425,1089,1,49,49,4,19,0,0,36,35,0,39,10,5,62,3,10,0,199,208,214,209,1,1079,0,15,148,49,230,229,205,218,148,59
2024-09-19 23:04:22,107.13834381103516,10,6,116.1199999999987,99.02196708816336,2483,0,70,71,7,26,0,0,47,47,1,65,6,3,167,12,6,0,492,516,534,468,12,2481,4,25,240,70,489,597,541,543,240,77
2024-09-19 23:04:22,111.55221390724182,10,0,1.0599999999997252,67.8485398881603,1718,0,74,74,9,25,0,0,43,43,0,68,9,1,116,6,9,0,485,185,236,454,4,1710,1,29,169,74,492,261,506,210,169,81
2024-09-19 23:04:22,116.85099697113037,10,0,28.07999999999942,66.49224406201392,1755,1,68,68,7,17,0,0,48,46,1,63,7,4,227,7,7,0,387,209,210,362,6,1751,3,22,295,68,383,362,411,226,295,81
2024-09-19 23:04:22,123.54841589927673,10,0,83.95999999999816,84.61518432025332,2167,3,73,73,11,24,0,0,44,44,1,68,5,4,359,10,5,0,375,334,338,428,7,2167,5,24,265,73,448,492,495,387,265,85
2024-09-19 23:04:22,132.52342987060547,10,10,89.79999999999816,107.73866026784526,2980,1,81,81,12,28,0,0,50,49,0,78,4,4,203,6,4,0,652,420,417,697,6,2982,6,31,516,81,716,507,697,453,516,97
2024-09-19 23:04:22,137.04349207878113,10,6,39.73999999999941,57.44345560867805,1512,1,70,70,8,23,0,0,47,46,0,65,8,4,138,8,8,0,365,180,204,339,8,1506,2,23,218,70,357,217,400,212,218,110
2024-09-19 23:04:22,141.28478002548218,10,6,23.259999999999962,62.397050817962736,1593,0,65,65,6,21,0,0,53,50,1,57,9,2,151,8,9,0,210,379,404,212,7,1585,1,17,173,65,279,430,239,390,173,83
2024-09-19 23:04:22,148.87704491615295,10,12,90.31999999999968,98.77907892956864,2593,0,81,81,15,32,0,0,54,52,2,75,6,4,138,7,6,0,501,486,503,516,7,2591,4,30,372,81,555,538,524,498,372,110
2024-09-19 23:04:22,155.56873178482056,10,0,102.75999999999877,89.53020782535896,2307,0,77,77,11,24,0,0,62,61,2,73,7,4,162,10,7,0,595,321,357,593,10,2303,3,17,205,77,626,388,647,345,205,99
2024-09-19 23:04:22,163.25550889968872,10,12,120.6999999999976,101.80978625512216,2512,1,68,68,20,29,0,0,46,45,0,63,6,5,115,9,6,0,453,505,514,513,9,2510,4,21,348,68,538,550,469,528,348,83
2024-09-19 23:04:22,170.22914290428162,10,6,144.5999999999991,94.71823941497132,2404,0,74,74,15,31,0,0,59,56,1,71,5,6,133,9,5,0,491,477,483,467,8,2404,5,16,284,74,498,513,528,498,284,88
