Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,CRATE_DESTROYED,GOT_KILLED,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-11 21:05:44,0.3171110153198242,10,0,-733.9999999999974,968758.8333423585,12,12,0,0,14,10,315,0,10,1,32,14,3,0,0,47,10,76,80,190,47,21
2024-09-11 21:05:44,0.6187703609466553,10,0,-778.5999999999992,154874547.40429688,10,10,0,0,13,10,343,0,10,3,14,13,1,0,0,7,6,59,19,290,7,10
2024-09-11 21:05:44,1.3653602600097656,10,0,-1294.8000000000015,141919055843.8125,11,11,0,0,8,10,565,0,10,32,12,5,57,0,0,226,407,35,148,80,226,12
2024-09-11 21:05:44,1.94523024559021,10,0,-1056.1999999999953,1213528831728.0,10,10,0,0,11,10,468,0,10,6,32,38,5,0,0,101,12,242,12,282,101,11
2024-09-11 21:05:44,2.6071841716766357,10,0,-1104.0000000000166,6232707076155.0,11,11,0,0,7,10,472,0,10,10,28,15,7,0,0,191,13,138,193,187,191,12
2024-09-11 21:05:44,3.535676956176758,10,0,-1595.4000000000024,23644896727280.0,10,10,0,0,9,10,741,0,10,28,11,6,6,0,0,69,15,15,630,132,69,10
2024-09-11 21:05:44,4.086229085922241,10,0,-982.999999999999,28363814474608.0,10,10,0,0,14,10,445,0,10,4,10,2,13,0,0,7,272,7,84,111,7,10
2024-09-11 21:05:44,4.789341926574707,10,0,-1249.799999999998,75239460876432.0,11,11,0,0,12,10,585,0,10,29,23,10,39,0,0,11,322,15,133,215,11,12
2024-09-11 21:05:44,5.549316167831421,10,0,-1631.6000000000013,209089522659136.0,10,10,0,0,9,10,773,0,10,11,14,20,39,0,0,16,309,226,302,20,16,10
2024-09-11 21:05:44,5.966642141342163,10,0,-538.9999999999952,178584276695808.0,10,10,0,0,10,10,169,0,10,12,2,7,6,0,0,276,7,38,144,6,276,11
2024-09-11 21:05:44,6.420827150344849,10,0,-936.1999999999983,297975835548416.0,10,10,0,0,12,10,415,0,10,13,17,15,10,0,0,53,12,50,201,206,53,11
2024-09-11 21:05:44,6.87617826461792,10,0,-1054.7999999999984,494032112881664.0,11,11,0,0,6,10,486,0,10,37,24,10,9,0,0,8,9,150,309,98,8,11
2024-09-11 21:05:44,7.431529998779297,10,0,-1355.800000000002,949532372718720.0,10,10,0,0,10,10,634,0,10,40,3,7,21,0,0,15,100,18,418,169,15,10
2024-09-11 21:05:44,7.948954105377197,10,0,-1307.2000000000019,1245135531467264.0,10,10,0,0,10,10,607,0,10,4,11,11,10,0,0,11,284,155,12,192,11,10
2024-09-11 21:05:44,8.423412084579468,10,0,-890.1999999999985,1225664687568384.0,10,10,0,0,11,10,401,0,10,6,17,4,32,0,0,10,202,7,9,242,10,10
2024-09-11 21:05:44,8.929975032806396,10,0,-1126.2000000000003,1835013257100288.0,10,10,0,0,15,10,517,0,10,5,17,9,8,0,0,10,151,9,11,383,10,12
2024-09-11 21:05:44,9.849740028381348,10,0,-1271.0000000000032,4438824720924672.0,10,10,0,0,7,10,510,0,10,4,19,13,15,0,0,413,176,21,10,354,413,10
2024-09-11 21:05:44,10.482946157455444,10,0,-1410.2000000000012,4229114593598464.0,10,10,0,0,14,10,660,0,10,11,6,27,7,0,0,11,18,493,16,184,11,10
2024-09-11 21:05:44,11.048243999481201,10,0,-514.9999999999914,5363374480906240.0,10,10,0,0,11,10,106,0,10,7,6,16,6,0,0,535,18,53,64,6,535,10
2024-09-11 21:05:44,11.471705198287964,10,0,-970.5999999999979,5098485747191808.0,10,10,0,0,13,10,440,0,10,39,1,1,8,0,0,11,8,13,454,14,11,10
2024-09-11 21:05:44,12.00969910621643,10,0,-394.7999999999909,8629070841122816.0,10,10,0,0,7,10,39,0,10,3,10,6,3,0,0,563,9,11,29,11,563,11
2024-09-11 21:05:44,12.393388032913208,10,0,-530.5999999999982,8056026817374208.0,10,10,0,0,12,10,170,0,10,2,9,9,5,0,0,249,6,110,9,68,249,12
2024-09-11 21:05:44,12.830429315567017,10,0,-1059.7999999999988,1.2329105972148224e+16,11,11,0,0,18,10,481,0,10,6,9,27,9,0,0,31,201,308,11,11,31,12
2024-09-11 21:05:44,13.15843415260315,10,0,-760.5999999999981,1.0557381068726272e+16,10,10,0,0,16,10,338,0,10,12,12,21,26,0,0,7,75,244,37,53,7,10
2024-09-11 21:05:44,13.646503925323486,10,0,-1254.200000000002,2.059226611421184e+16,10,10,0,0,10,10,581,0,10,4,12,22,3,0,0,11,7,557,9,49,11,10
2024-09-11 21:05:44,14.444381952285767,10,0,-1435.4000000000005,2.772769504373965e+16,10,10,0,0,12,10,673,0,10,4,18,21,10,0,0,10,146,70,13,496,10,11
2024-09-11 21:05:44,14.869387149810791,10,0,-857.1999999999983,2.1184466922717184e+16,10,10,0,0,16,10,384,0,10,6,8,6,26,0,0,6,329,7,8,84,6,12
2024-09-11 21:05:44,15.389930963516235,10,0,-976.1999999999975,2.652079304109261e+16,10,10,0,0,13,10,444,0,10,18,15,6,18,0,0,9,201,16,141,143,9,10
2024-09-11 21:05:44,15.999089241027832,10,0,-1320.200000000004,4.321053142629581e+16,10,10,0,0,13,10,605,0,10,8,13,6,4,0,0,51,20,13,554,47,51,12
2024-09-11 21:05:44,16.6941339969635,10,0,-1580.6000000000033,5.897547402344858e+16,10,10,0,0,9,10,741,0,10,28,9,6,14,0,0,35,20,14,752,11,35,11
2024-09-11 21:05:44,17.229324102401733,10,0,-1184.9999999999984,5.623108375884595e+16,10,10,0,0,11,10,548,0,10,16,37,7,7,0,0,16,15,14,319,267,16,10
2024-09-11 21:05:44,17.873552083969116,10,0,-1318.4000000000137,9.21341802656727e+16,10,10,0,0,14,10,582,0,10,9,44,11,6,0,0,181,12,13,14,613,181,10
2024-09-11 21:05:44,18.65472912788391,10,0,-1602.2000000000035,1.110759578499154e+17,10,10,0,0,14,10,759,0,10,17,21,2,45,0,0,13,676,10,19,137,13,12
