Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-18 18:15:25,0.23258209228515625,10,0,-98.54000000000006,7.4636428752564825,154,7,10,10,0,11,0,0,29,18,0,10,8,115,0,10,3,1,5,2,0,144,0,0,18,10,13,23,72,4,18,24
2024-09-18 18:15:25,0.3012502193450928,10,0,-83.8000000000001,16.27092508971691,50,5,10,10,0,11,0,0,31,17,0,10,5,32,0,10,6,2,0,0,0,40,0,0,0,10,0,2,18,3,0,27
2024-09-18 18:15:25,0.36598706245422363,10,0,-82.34000000000009,21.082936942577362,50,3,10,10,0,12,0,0,29,17,0,10,4,30,0,10,3,2,2,2,0,40,0,0,1,10,10,4,7,3,1,25
2024-09-18 18:15:25,0.4330291748046875,10,0,-79.84000000000007,22.168855622410774,51,6,10,10,0,14,0,0,32,19,0,10,7,32,0,10,1,1,3,0,0,41,0,0,4,10,4,8,4,16,4,15
2024-09-18 18:15:25,0.5006530284881592,10,0,-77.18000000000004,18.795275256037712,51,2,10,10,0,14,0,0,31,19,0,10,2,22,0,10,4,0,4,1,0,41,0,0,10,10,4,14,8,1,10,14
2024-09-18 18:15:25,0.5672729015350342,10,0,-78.82000000000002,13.072842195630074,52,2,10,10,0,13,0,0,28,19,0,10,3,27,0,10,6,0,3,2,0,42,0,0,4,10,7,12,14,2,4,13
2024-09-18 18:15:25,0.6401290893554688,10,0,-77.68000000000008,6.47073120623827,50,2,10,10,0,16,0,0,30,18,0,10,2,29,0,10,2,0,0,7,0,40,0,0,2,10,25,0,8,0,2,15
2024-09-18 18:15:25,1.0489871501922607,10,0,-133.52000000000174,29.393848352134228,357,1,10,10,0,12,0,0,29,17,0,10,2,318,0,10,7,2,2,14,0,347,0,0,4,10,20,12,296,12,4,13
2024-09-18 18:15:25,2.169072151184082,10,0,-150.04000000000366,44.959554724395275,1004,4,10,10,0,12,0,0,31,14,0,10,4,325,0,10,24,3,2,22,0,994,0,0,618,10,33,26,273,43,618,11
2024-09-18 18:15:25,2.8507299423217773,10,0,-107.94000000000109,16.40856515802443,624,4,11,11,0,10,0,0,26,12,2,10,6,82,0,10,14,3,7,14,0,614,0,0,493,11,33,22,31,31,493,14
2024-09-18 18:15:25,3.55531907081604,10,0,-99.66000000000342,14.65203836816363,640,4,11,11,0,5,0,0,34,17,2,10,6,52,0,10,40,15,12,41,0,630,0,0,469,11,51,27,53,26,469,14
2024-09-18 18:15:25,4.332941055297852,10,0,-101.72000000000298,12.715661123686004,739,3,13,13,0,16,0,0,29,16,4,10,3,134,0,10,93,28,33,93,0,729,0,1,345,13,156,68,107,45,345,18
2024-09-18 18:15:25,5.135132312774658,10,0,-98.87999999999792,12.175563675235026,722,6,11,11,0,14,0,0,33,15,1,10,6,139,0,10,149,46,46,153,0,712,0,0,178,11,171,76,159,120,178,18
2024-09-18 18:15:25,5.977959156036377,10,0,-74.99999999999999,11.721307409286965,759,6,12,12,1,20,0,0,42,21,2,10,7,57,0,10,70,112,111,75,0,749,0,0,322,12,90,121,79,123,322,24
2024-09-18 18:15:25,7.177648067474365,10,0,-82.36000000000058,17.328988556051627,1138,5,11,11,0,15,0,0,31,15,1,10,5,97,0,10,97,316,312,97,0,1128,0,0,208,11,120,348,112,332,208,18
