Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,Steps,BOILING,BOMB_DROPPED,BOMB_EXPLODED,CLOSER_TO_ENEMY,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_COMBO,CRATE_DESTROYED,CRATE_POTENTIALLY_DESTROYED,ENEMY_IN_DEAD_END,ENEMY_POTENTIALLY_KILLED,FRESHENED_UP,FURTHER_FROM_ENEMY,GOT_KILLED,HOT,INVALID_ACTION,IN_DEAD_END,KILLED_OPPONENT,KILLED_SELF,LAST_AGENT_STANDING,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,STEP_SURVIVED,SURVIVED_ROUND,USELESS_BOMB,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-22 07:27:48,11.325316905975342,10,1,-12.220000000003058,68.50380179390777,2698,3,8,8,888,5,0,0,0,0,0,2694,0,1,810,7,3,278,4,0,7,0,4,1163,1161,18,0,2694,3,6,69,8,47,1300,48,1226,69,11
2024-09-22 07:27:48,26.443506002426147,10,0,136.3200000000001,73.47914938686881,3507,0,5,5,1148,10,0,0,0,0,0,3511,0,2,1034,3,0,358,2,0,3,0,239,1312,1305,248,0,3511,7,4,47,5,315,1417,366,1364,47,5
2024-09-22 07:27:48,37.774547815322876,10,1,74.69999999999635,63.48062495200429,2740,3,7,8,911,13,0,0,0,0,0,2740,0,2,782,5,3,372,5,1,5,0,362,778,795,405,0,2740,5,5,26,7,488,955,451,818,26,7
2024-09-22 07:27:48,52.4950430393219,10,7,119.55999999999534,85.13661444140598,3469,1,5,5,1178,15,0,0,0,0,0,3473,0,2,1001,3,1,672,5,2,3,0,648,767,734,634,2,3473,7,1,16,5,856,988,789,822,16,5
2024-09-22 07:27:48,68.72828984260559,10,6,198.899999999999,99.68511908047367,3769,0,3,3,1253,20,0,0,0,0,0,3775,0,1,1090,2,1,421,3,1,2,0,604,1030,1016,654,1,3775,8,2,49,3,832,1104,694,1094,49,4
2024-09-22 07:27:48,84.5713279247284,10,2,184.97999999999845,98.09148694574833,3623,0,6,6,1227,19,0,0,0,0,0,3629,0,4,1057,2,0,432,4,1,2,0,366,1176,1205,366,1,3629,8,3,80,6,505,1359,455,1225,80,7
2024-09-22 07:27:48,102.70614004135132,10,0,228.99999999999994,107.97448651457671,4000,0,4,4,1325,13,0,0,0,0,0,4010,0,4,1158,0,0,476,1,0,0,0,387,1376,1356,352,0,4010,10,3,59,4,448,1459,574,1466,59,4
2024-09-22 07:27:48,117.61139798164368,10,2,159.2199999999984,86.34985044610221,3132,0,9,9,1057,14,0,0,0,0,0,3136,0,10,939,3,0,222,0,0,3,0,425,988,1011,407,0,3136,7,6,77,9,497,1113,447,996,77,9
2024-09-22 07:27:48,133.32317209243774,10,3,217.09999999999948,97.9977374522714,3559,0,7,7,1201,18,0,0,0,0,0,3565,0,5,1047,2,0,354,3,2,2,0,432,1131,1186,447,2,3565,8,6,10,7,544,1328,501,1177,10,7
2024-09-22 07:27:48,149.167494058609,10,2,233.94000000000102,103.14243159815669,3744,0,4,4,1271,17,0,0,0,0,0,3752,0,3,1102,1,0,350,0,0,1,0,562,1128,1135,546,0,3752,9,4,28,4,656,1273,631,1161,28,4
2024-09-22 07:27:48,162.18023705482483,10,2,178.71999999999872,81.87142917094752,2959,2,4,4,1034,17,0,0,0,0,0,2961,0,1,899,4,2,167,2,2,4,0,738,659,653,733,1,2961,6,2,11,4,797,708,757,684,11,8
2024-09-22 07:27:48,177.1170358657837,10,11,235.91999999999928,101.391856062226,3517,0,8,8,1230,24,0,0,0,0,0,3521,1,5,1061,3,0,305,1,4,3,0,835,766,776,827,3,3521,7,5,7,8,888,855,876,890,7,8
2024-09-22 07:27:48,194.22753190994263,10,2,210.93999999999988,107.46654247271363,3643,1,6,6,1250,25,0,0,0,0,0,3647,0,4,1100,3,1,310,1,2,3,0,535,1111,1105,561,1,3647,7,4,22,6,730,1179,570,1142,22,7
2024-09-22 07:27:48,211.71517300605774,10,2,295.00000000000773,113.89028865727596,4000,0,3,3,1410,25,0,0,0,0,0,4010,0,3,1215,0,0,300,0,0,0,0,605,1204,1230,609,0,4010,10,3,59,3,683,1334,691,1240,59,3
2024-09-22 07:27:48,229.54019498825073,10,0,264.19999999999635,111.53034709196072,4000,0,5,5,1340,18,0,0,0,0,0,4010,0,5,1180,0,0,529,1,3,0,0,362,1365,1360,367,3,4010,10,3,22,5,445,1493,652,1393,22,5
2024-09-22 07:27:48,246.29941391944885,10,4,281.70000000000937,107.07167468825355,3697,0,14,14,1226,17,0,0,0,0,0,3705,0,16,1090,1,3,407,4,7,1,0,471,1158,1140,512,7,3705,9,7,4,14,677,1235,551,1223,4,16
2024-09-22 07:27:48,259.88473105430603,10,10,180.36,93.92925356025808,2968,4,21,21,1023,23,0,0,0,0,0,2968,0,17,860,5,5,294,3,7,5,0,462,890,821,482,7,2968,5,12,3,21,595,918,515,915,3,27
2024-09-22 07:27:48,266.81283688545227,10,8,99.65999999999917,47.8555039659841,1424,0,30,30,484,20,0,0,0,0,0,1418,0,25,383,8,1,128,5,10,8,0,198,417,418,231,9,1418,2,18,4,30,257,483,225,423,4,34
2024-09-22 07:27:48,275.7739140987396,10,6,56.13999999999842,56.07253165496513,1522,2,52,52,561,19,0,0,0,0,0,1512,0,45,457,10,2,80,7,13,10,0,168,521,508,180,13,1512,0,41,13,52,205,534,182,533,13,55
2024-09-22 07:27:48,283.72101497650146,10,5,36.879999999999484,75.54321098304354,1822,1,25,25,625,12,0,0,0,0,0,1814,0,21,534,9,3,197,5,9,9,0,173,639,600,178,9,1814,1,14,11,25,241,658,230,651,11,32
2024-09-22 07:27:48,293.6970748901367,10,2,109.31999999999684,91.56290655909106,2139,1,33,33,769,22,0,0,0,0,0,2131,3,28,602,9,1,226,5,13,9,0,399,519,514,416,13,2131,1,20,33,33,465,610,448,544,33,40
2024-09-22 07:27:48,306.91413378715515,10,12,261.63999999999857,139.15682909428142,2859,2,64,64,830,31,0,0,0,0,0,2355,5,61,726,6,11,625,0,22,6,4,393,687,628,461,22,2857,4,43,5,64,971,670,422,698,5,97
2024-09-22 07:27:48,320.0482568740845,10,7,209.72000000000185,121.39846692350693,2438,3,84,84,857,34,0,0,0,0,0,2430,0,78,688,6,10,197,7,15,6,1,253,790,811,248,13,2436,4,69,59,84,315,874,272,807,59,115
2024-09-22 07:27:48,332.87734389305115,10,18,387.57999999998657,163.52562841237523,2867,2,72,72,668,18,0,0,0,0,0,1854,2,68,508,4,2,192,3,21,4,6,700,586,571,738,20,2869,6,52,14,72,751,680,712,596,14,120
2024-09-22 07:27:48,343.67107915878296,10,8,193.5800000000006,124.52873720112257,2013,1,81,81,569,23,0,0,0,0,0,1627,6,75,451,7,1,174,3,18,7,3,393,389,358,452,18,2009,3,65,169,81,464,417,437,398,169,131
2024-09-22 07:27:48,351.2576780319214,10,1,43.06000000000185,100.47635588771664,1428,1,55,55,348,19,0,0,0,0,0,928,3,48,253,10,2,111,5,10,10,2,419,231,209,390,10,1418,0,43,13,55,400,280,431,236,13,68
2024-09-22 07:27:48,358.15119194984436,10,10,126.39999999999804,84.90555826295167,1085,0,76,76,345,27,0,0,0,0,0,887,2,67,255,10,0,83,2,16,10,4,227,232,201,261,15,1075,0,59,5,76,291,214,245,233,5,97
2024-09-22 07:27:48,363.49954891204834,10,1,59.479999999998604,75.77597132325172,894,1,43,43,319,18,0,0,0,0,0,865,0,33,208,10,1,113,1,13,10,1,231,138,152,213,13,884,0,36,4,43,232,194,256,140,4,68
2024-09-22 07:27:48,367.8476960659027,10,7,30.63999999999978,69.24578596232459,782,2,34,34,275,8,0,0,0,0,0,721,1,24,179,10,2,94,5,12,10,1,204,106,123,193,12,772,0,22,28,34,211,158,218,109,28,58
2024-09-22 07:27:48,377.86201000213623,10,8,93.37999999999981,137.75247225305066,1552,1,68,69,578,23,0,0,0,0,0,1544,1,59,436,9,2,160,3,14,9,0,303,312,322,377,14,1544,1,52,11,68,403,386,345,321,11,87
2024-09-22 07:27:48,389.48096895217896,10,1,142.50000000000261,212.1945434533991,2303,0,53,53,718,18,0,0,0,0,0,1997,2,45,584,9,2,157,2,15,9,2,630,427,412,608,15,2295,1,36,17,53,681,444,660,443,17,59
2024-09-22 07:27:48,396.61044812202454,10,7,52.219999999997434,122.61636612005532,1331,0,45,45,478,15,0,0,0,0,0,1306,1,35,366,10,0,103,2,12,10,1,229,367,346,210,11,1321,0,33,31,45,245,360,254,381,31,60
2024-09-22 07:27:48,406.4870901107788,10,16,180.2999999999995,195.2232977435924,2066,2,64,65,710,24,0,0,0,0,0,2045,0,57,550,8,5,343,8,21,8,2,321,476,501,296,20,2060,2,42,67,64,330,607,385,596,67,83
2024-09-22 07:27:48,417.8610179424286,10,19,266.62000000000023,207.83665200835094,2164,1,87,87,730,28,0,0,0,0,0,2034,3,80,574,9,1,225,7,25,9,6,438,491,458,461,25,2156,1,63,5,87,501,574,475,508,5,102
2024-09-22 07:27:48,426.5176558494568,10,12,123.77999999999867,159.4029103857465,1557,5,64,63,568,21,0,0,0,0,0,1535,3,56,448,9,5,174,9,17,9,1,314,352,320,324,17,1549,1,43,10,64,340,418,339,373,10,78
2024-09-22 07:27:48,435.51199102401733,10,9,216.19999999999789,177.22310439078137,1803,0,66,66,562,25,0,0,0,0,0,1546,2,57,453,9,4,128,3,19,9,6,384,433,396,390,19,1795,1,51,7,66,412,439,414,454,7,78
2024-09-22 07:27:48,445.7192060947418,10,19,190.38000000000017,185.3621014081873,1832,2,70,70,654,32,0,0,0,0,0,1787,1,63,520,9,3,154,4,19,9,3,324,473,411,369,18,1824,1,52,32,70,398,484,346,484,32,89
2024-09-22 07:27:48,464.1424307823181,10,17,402.28000000000156,352.2943040309474,3615,0,121,119,1035,27,0,0,0,0,0,3011,8,116,917,3,1,222,2,23,3,4,928,684,685,920,23,3619,7,100,62,121,983,771,955,708,62,143
2024-09-22 07:27:48,480.5382058620453,10,1,518.6200000000014,331.52178714983165,3623,0,73,73,653,24,0,0,0,0,0,1849,1,73,501,1,0,212,1,24,1,8,1077,537,468,1104,24,3631,9,57,161,73,1166,551,1100,556,161,98
2024-09-22 07:27:48,498.64410495758057,10,19,451.2600000000059,277.1286230478436,3081,0,120,118,738,21,0,0,0,0,0,2001,2,116,587,4,2,163,3,28,4,9,645,739,668,665,28,3083,6,98,87,120,704,710,670,773,87,143
2024-09-22 07:27:48,513.5794920921326,10,7,236.15999999999724,257.63263089605607,2938,0,117,116,667,27,0,0,0,0,0,1950,2,111,522,5,0,458,2,22,5,5,434,601,606,473,21,2938,5,102,254,117,552,903,468,627,254,139
2024-09-22 07:27:48,527.5269837379456,10,19,295.55999999999085,215.3969807268586,2608,1,80,79,632,33,0,0,0,0,0,1830,5,76,533,5,2,274,5,17,5,5,411,684,667,466,16,2608,5,65,31,80,531,768,430,756,31,97
2024-09-22 07:27:48,539.6963028907776,10,0,228.41999999999643,208.00892500183545,2617,1,88,88,655,20,0,0,0,0,0,1774,5,80,509,8,4,204,5,20,8,4,496,662,615,535,19,2611,2,56,19,88,579,672,533,704,19,112
2024-09-22 07:27:48,551.5492839813232,10,19,314.5599999999878,204.46562389703467,2440,0,84,84,522,29,0,0,0,0,0,1445,2,78,386,6,1,233,3,22,6,4,309,713,756,342,21,2438,4,58,7,84,372,897,334,723,7,111
2024-09-22 07:27:48,562.9981081485748,10,16,281.8800000000009,189.93188093975186,2346,0,90,89,670,22,0,0,0,0,0,1784,5,84,512,6,2,203,2,19,6,5,387,654,601,377,19,2344,4,69,38,90,416,664,437,681,38,114
2024-09-22 07:27:48,574.314966917038,10,18,440.0399999999835,230.95263193477876,2700,1,65,65,384,25,0,0,0,0,0,950,3,63,244,4,3,101,1,23,4,6,388,832,860,430,22,2702,6,44,30,65,453,888,404,836,30,95
2024-09-22 07:27:48,586.4831500053406,10,20,357.559999999993,209.14389244350605,2413,1,97,97,480,30,0,0,0,0,0,1286,3,92,346,5,1,146,6,21,5,6,519,533,582,534,21,2413,5,77,7,97,560,618,541,550,7,142
2024-09-22 07:27:48,597.1211800575256,10,5,329.2000000000023,197.4954689387232,2332,1,83,83,477,21,0,0,0,0,0,1293,5,79,341,6,2,143,3,22,6,5,595,453,494,560,22,2330,4,59,8,83,580,540,633,466,8,109
2024-09-22 07:27:48,608.1751358509064,10,18,237.29999999999336,194.6541200785432,2149,0,98,98,475,32,0,0,0,0,0,1288,3,96,350,7,8,251,0,19,7,5,477,429,365,468,19,2145,3,77,64,98,498,465,555,434,64,136
2024-09-22 07:27:48,617.2275590896606,10,20,234.63999999999365,176.61327514867298,1890,0,89,89,449,20,0,0,0,0,0,1207,0,83,313,9,7,87,3,23,9,6,404,431,415,422,23,1882,1,69,43,89,437,443,413,439,43,116
2024-09-22 07:27:48,627.1029558181763,10,15,266.43999999999625,200.5272346273996,2059,0,76,76,516,31,0,0,0,0,0,1386,1,73,404,6,0,124,3,17,6,3,443,521,444,434,17,2057,4,56,21,76,465,508,450,533,21,86
2024-09-22 07:27:48,638.70556473732,10,21,407.56000000000193,228.69214496412314,2421,0,92,92,556,36,0,0,0,0,0,1495,2,89,400,4,0,160,2,21,4,6,519,570,562,516,21,2423,6,73,8,92,567,602,546,586,8,118
2024-09-22 07:27:48,648.7699360847473,10,0,353.06000000000773,233.1710512661375,2491,0,67,67,569,32,0,0,0,0,0,1501,1,65,437,4,0,241,3,18,4,5,560,561,496,568,17,2493,6,56,4,67,725,537,570,586,4,75
2024-09-22 07:27:48,660.5618479251862,10,21,346.9600000000013,182.78863134793937,1901,1,82,82,584,41,0,0,0,0,0,1724,1,81,440,4,2,219,7,18,4,5,307,496,466,301,18,1903,6,64,36,82,353,558,341,519,36,100
2024-09-22 07:27:48,671.7862918376923,10,19,477.3600000000091,186.42139203706756,1876,1,83,83,584,45,0,0,0,0,0,1557,3,81,421,4,2,117,3,25,4,6,308,526,566,277,24,1878,6,56,5,83,313,612,318,534,5,100
2024-09-22 07:27:48,682.6126809120178,10,18,545.5800000000014,232.44642308587208,2178,0,93,93,527,57,0,0,0,0,0,1411,3,92,385,2,3,152,2,24,2,8,430,512,516,419,24,2184,8,70,64,93,479,552,464,518,64,109
2024-09-22 07:27:48,692.0457119941711,10,5,505.120000000005,228.29438124457374,2072,0,69,69,499,49,0,0,0,0,0,1308,4,67,388,3,2,100,3,22,3,7,535,455,411,502,22,2076,7,43,7,69,542,439,553,463,7,75
2024-09-22 07:27:48,700.8869621753693,10,21,551.580000000003,224.95933086331934,1950,0,76,76,493,59,0,0,0,0,0,1283,3,75,353,3,5,125,1,26,3,7,467,422,387,468,26,1954,7,58,12,76,509,449,469,434,12,84
2024-09-22 07:27:48,710.5114741325378,10,23,324.6000000000038,205.7039549057372,1705,0,84,83,595,42,0,0,0,0,0,1573,5,79,467,5,4,68,4,16,5,4,283,486,482,294,16,1705,5,68,13,84,314,503,286,501,13,93
2024-09-22 07:27:48,719.2226638793945,10,18,566.2200000000062,187.84755749674514,1545,1,78,78,467,61,0,0,0,0,0,1227,1,76,334,2,6,152,3,25,2,8,290,362,362,302,25,1551,8,55,7,78,364,428,296,370,7,88
2024-09-22 07:27:48,729.626855134964,10,2,400.7799999999953,274.082154693082,2047,1,113,113,421,40,0,0,0,0,0,1163,5,111,295,4,6,158,6,22,4,6,469,445,430,430,22,2049,6,86,8,113,446,501,485,467,8,146
2024-09-22 07:27:48,737.6649971008301,10,5,485.7400000000072,206.91811313922517,1565,0,70,70,465,61,0,0,0,0,0,1317,4,66,349,4,3,155,3,23,4,7,317,371,346,307,23,1567,6,48,5,70,355,411,320,391,5,89
2024-09-22 07:27:48,746.7295339107513,10,7,533.6400000000008,231.1148434043862,1658,2,87,87,494,59,0,0,0,0,0,1229,2,85,345,3,8,100,3,25,3,7,335,386,376,377,25,1662,7,62,4,87,387,393,367,393,4,121
2024-09-22 07:27:48,758.7837958335876,10,19,423.3000000000062,276.00419642822817,1958,0,105,105,679,42,0,0,0,0,0,1832,8,104,541,4,6,140,1,23,4,5,337,515,498,354,22,1960,6,82,15,105,365,553,365,522,15,144
2024-09-22 07:27:48,769.0964980125427,10,20,555.600000000013,257.7039228370413,1724,1,104,104,576,56,0,0,0,0,0,1563,12,102,442,2,6,96,4,24,2,7,375,386,375,383,24,1730,8,72,13,104,405,406,391,390,13,127
2024-09-22 07:27:48,777.7551798820496,10,4,336.4600000000029,229.09896913263947,1458,1,69,69,457,43,0,0,0,0,0,1233,2,68,325,5,5,121,5,18,5,4,333,279,294,360,18,1458,5,55,7,69,385,329,358,291,7,93
2024-09-22 07:27:48,785.7324750423431,10,8,564.119999999997,202.2109371270053,1267,1,54,54,411,61,0,0,0,0,0,970,5,51,268,3,9,74,4,25,3,7,275,306,313,250,25,1271,7,32,2,54,272,322,287,317,2,74
2024-09-22 07:27:48,797.8075819015503,10,18,493.1000000000047,319.4562027109787,2021,0,77,77,589,58,0,0,0,0,0,1638,1,75,474,3,8,101,3,22,3,6,318,628,561,327,22,2025,7,58,16,77,346,611,325,639,16,91
2024-09-22 07:27:48,807.083014011383,10,20,378.0600000000071,265.0498454431072,1648,1,70,70,459,46,0,0,0,0,0,1213,1,65,317,5,28,155,7,22,5,5,245,429,403,314,22,1648,5,52,37,70,326,470,292,436,37,92
2024-09-22 07:27:48,817.8443758487701,10,4,459.6800000000066,304.06195459514856,1912,0,87,87,633,53,0,0,0,0,0,1755,2,85,460,4,32,154,3,24,4,6,394,446,399,397,23,1914,6,62,41,87,443,449,411,473,41,101
2024-09-22 07:27:48,829.1365427970886,10,6,595.7800000000061,337.0771944383159,2073,0,77,77,663,56,0,0,0,0,0,1739,5,75,525,2,6,105,3,26,2,8,527,406,421,531,26,2079,8,53,14,77,566,449,534,420,14,98
2024-09-22 07:27:48,841.2364618778229,10,22,491.820000000006,317.44026093836874,1937,0,85,85,602,60,0,0,0,0,0,1651,1,83,484,3,6,107,2,22,3,6,399,471,449,415,22,1941,7,62,18,85,437,485,415,489,18,100
2024-09-22 07:27:48,848.5769670009613,10,22,517.4600000000034,189.38564581563696,1124,0,48,48,332,64,0,0,0,0,0,831,2,45,203,3,4,78,3,22,3,7,150,306,314,166,22,1128,7,33,69,48,179,345,161,319,69,58
2024-09-22 07:27:48,863.3611598014832,10,21,370.46000000001635,371.0172429541126,2118,0,90,90,669,46,0,0,0,0,0,1833,4,89,519,5,3,91,2,19,5,5,318,630,649,302,18,2118,5,74,43,90,325,691,325,642,43,97
2024-09-22 07:27:48,879.0748488903046,10,14,454.8000000000001,397.0063130147755,2298,1,99,99,676,53,0,0,0,0,0,1870,8,95,532,4,13,213,4,24,4,5,355,647,610,365,24,2300,6,65,15,99,439,681,375,673,15,121
2024-09-22 07:27:48,887.4238479137421,10,22,436.6400000000084,222.3684368180111,1287,0,76,76,397,56,0,0,0,0,0,989,6,73,260,5,1,89,2,22,5,6,243,300,307,273,21,1287,5,57,4,76,302,336,254,308,4,88
2024-09-22 07:27:48,901.0393540859222,10,20,480.74000000002076,362.9028872670606,2108,0,84,84,714,47,0,0,0,0,0,1878,0,81,550,3,12,174,3,24,3,6,316,621,588,313,24,2112,7,62,19,84,333,643,363,644,19,113
2024-09-22 07:27:48,913.8967688083649,10,4,293.56000000001376,316.5582553027198,1812,1,117,117,496,45,0,0,0,0,0,1336,5,111,379,7,21,164,1,21,7,6,419,360,318,390,21,1808,3,90,47,117,419,342,432,387,47,188
2024-09-22 07:27:48,924.5371570587158,10,17,240.7000000000012,262.15514536201954,1533,0,87,87,485,31,0,0,0,0,0,1278,2,79,344,9,4,156,2,22,9,6,231,421,377,251,21,1525,1,66,11,87,269,431,256,435,11,132
2024-09-22 07:27:48,937.3255288600922,10,22,256.73999999999916,292.94718195311725,1768,0,101,101,578,29,0,0,0,0,0,1578,5,96,428,8,1,192,7,23,8,6,258,440,424,270,23,1762,2,72,85,101,295,525,288,449,85,128
2024-09-22 07:27:48,948.9879641532898,10,20,516.840000000011,280.40453517250717,1768,1,108,108,506,52,0,0,0,0,0,1385,1,106,379,3,1,210,4,27,3,9,280,428,428,298,27,1772,7,78,23,108,343,495,296,440,23,178
2024-09-22 07:27:48,958.7116639614105,10,20,296.680000000002,188.0309860985726,1201,2,88,88,417,39,0,0,0,0,0,1053,4,83,293,6,3,132,4,19,6,4,188,266,302,226,19,1199,4,62,3,88,243,360,202,274,3,123
2024-09-22 07:27:48,969.1425487995148,10,22,538.2000000000079,240.9425101634115,1426,0,66,66,465,56,0,0,0,0,0,1220,2,64,336,3,1,91,1,25,3,7,231,389,420,221,25,1430,7,44,15,66,229,471,239,393,15,86
2024-09-22 07:27:48,979.7529330253601,10,18,422.3000000000062,263.35404380457476,1520,0,81,81,502,49,0,0,0,0,0,1264,4,78,348,5,1,111,4,23,5,6,338,287,332,337,23,1520,5,57,39,81,356,370,353,297,39,110
2024-09-22 07:27:48,988.0732629299164,10,22,193.1599999999994,177.6502651842311,997,0,63,63,308,32,0,0,0,0,0,807,3,56,204,7,0,69,8,13,7,3,223,209,183,250,13,993,3,53,3,63,260,206,238,220,3,73
2024-09-22 07:27:48,999.4371597766876,10,23,422.44000000000796,332.114092418924,1899,0,84,83,520,48,0,0,0,0,0,1341,5,79,364,6,0,128,2,25,6,6,353,513,477,345,25,1897,4,62,3,84,361,534,369,527,3,109
