Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,Loss,BOILING,BOMB_DROPPED,BOMB_EXPLODED,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,FRESHENED_UP,GOT_KILLED,HOT,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,OPPONENT_ELIMINATED,SURVIVED_ROUND,WAITED,WARM,UP,RIGHT,DOWN,LEFT,WAIT,BOMB
2024-09-15 20:18:37,0.5386879444122314,10,9,20.95999999999978,28.27636300335871,0,10,10,57,0,0,0,3,10,3,99,0,10,165,50,62,122,0,0,35,10,142,106,191,57,35,12
2024-09-15 20:18:37,1.185615062713623,10,12,505.85999999998853,93.70998634397984,0,12,12,270,0,0,0,8,8,1,38,0,8,151,188,177,170,0,2,15,12,178,195,157,194,15,12
2024-09-15 20:18:37,1.8449020385742188,10,50,560.7999999999905,123.64513098448515,1,17,17,297,0,0,0,10,8,2,41,0,8,198,165,172,172,0,2,14,17,179,187,208,171,14,20
2024-09-15 20:18:37,2.9301581382751465,10,49,942.2199999999732,209.6513316631317,0,9,9,430,0,0,0,6,3,1,39,0,3,327,268,264,253,0,7,19,9,268,272,333,278,19,9
2024-09-15 20:18:37,4.020559072494507,10,49,764.2199999999804,185.56308706104755,0,16,16,373,0,0,0,12,6,1,26,0,6,230,258,226,225,0,4,18,16,227,232,234,269,18,19
2024-09-15 20:18:37,4.875377178192139,10,28,674.979999999984,162.5539350360632,0,16,16,340,0,0,0,15,7,0,15,0,7,212,206,195,200,0,3,11,16,201,198,220,209,11,16
2024-09-15 20:18:37,5.578788995742798,10,49,505.9999999999914,137.87558336555958,0,14,14,259,0,0,0,10,7,1,17,0,7,183,171,142,178,0,3,8,14,179,147,186,177,8,16
2024-09-15 20:18:37,6.363101005554199,10,33,658.3999999999826,177.31657008826733,0,10,10,332,0,0,0,5,7,0,20,0,7,235,193,210,232,0,3,10,10,240,215,235,196,10,14
2024-09-15 20:18:37,7.507075071334839,10,49,798.2799999999797,201.17062620073557,0,19,19,389,0,0,0,15,6,0,19,0,6,266,213,244,228,0,4,29,19,232,251,271,216,29,19
2024-09-15 20:18:37,8.174436092376709,10,44,470.2399999999903,139.14240877330303,0,16,16,262,0,0,0,9,9,0,20,0,9,205,157,115,160,0,1,31,16,168,119,209,159,31,18
2024-09-15 20:18:37,9.113447904586792,10,48,857.3599999999758,216.95573342591524,0,15,15,418,0,0,0,9,6,1,26,0,6,270,260,240,264,0,4,18,15,273,248,274,264,18,16
2024-09-15 20:18:37,9.94704008102417,10,49,711.4399999999832,190.95233692228794,0,17,17,367,0,0,0,12,8,0,23,0,8,249,229,185,245,0,2,15,17,246,193,252,238,15,19
2024-09-15 20:18:37,10.728808879852295,10,49,692.9199999999829,183.99561767280102,0,13,13,349,0,0,0,10,7,1,24,0,7,220,210,213,223,0,3,15,13,227,221,228,214,15,13
2024-09-15 20:18:37,11.758368015289307,10,49,705.3199999999837,170.33802483975887,0,12,12,346,0,0,0,9,6,1,17,0,6,238,199,184,194,0,4,11,12,198,189,240,205,11,12
2024-09-15 20:18:37,13.021818161010742,10,49,840.9399999999771,223.2056633606553,0,20,20,409,0,0,0,17,6,1,32,0,6,285,261,237,258,0,4,22,20,261,242,299,269,22,22
2024-09-15 20:18:37,13.995302200317383,10,38,818.5599999999786,208.92666359245777,0,14,14,399,0,0,0,13,6,0,24,0,6,284,249,222,233,0,4,16,14,236,227,294,253,16,16
2024-09-15 20:18:37,14.817998170852661,10,49,667.959999999984,173.52281898260117,0,13,13,338,0,0,0,8,7,1,22,0,7,201,186,184,226,0,3,25,13,229,193,203,193,25,14
2024-09-15 20:18:37,15.844733953475952,10,29,942.6799999999721,243.85313741117716,0,16,16,448,0,0,0,11,5,0,28,0,5,304,299,303,252,0,5,20,16,259,312,311,304,20,16
2024-09-15 20:18:37,16.62504506111145,10,24,720.1799999999834,184.73986341059208,0,20,20,352,0,0,0,19,6,0,31,0,6,203,191,225,238,0,4,13,20,244,236,209,198,13,21
2024-09-15 20:18:37,17.451251983642578,10,49,713.6999999999821,198.13536440581083,0,14,14,369,0,0,0,8,8,0,31,0,8,220,258,183,248,0,2,25,14,253,190,229,266,25,16
2024-09-15 20:18:37,18.175857067108154,10,7,662.0399999999834,173.20196548849344,0,12,12,314,0,0,0,11,5,0,14,0,5,209,196,181,227,0,5,21,12,228,182,217,199,21,13
2024-09-15 20:18:37,19.16361689567566,10,49,977.419999999973,236.34863677620888,0,11,11,446,0,0,0,11,3,0,22,0,3,314,265,261,279,0,7,21,11,283,266,321,270,21,12
2024-09-15 20:18:37,19.787410259246826,10,30,559.499999999988,151.62248119711876,0,14,14,296,0,0,0,10,8,2,27,0,8,197,154,177,161,0,2,16,14,168,182,203,159,16,18
2024-09-15 20:18:37,20.65922999382019,10,25,733.3599999999834,206.0867573544383,0,15,15,358,0,0,0,12,6,1,30,0,6,240,228,230,231,0,4,20,15,238,235,245,239,20,17
2024-09-15 20:18:37,21.706231117248535,10,49,931.5799999999722,249.87814588099718,1,20,20,442,0,0,0,17,5,2,27,0,5,298,273,275,306,0,5,15,20,310,280,309,276,15,24
2024-09-15 20:18:37,22.464493989944458,10,49,655.2399999999842,182.13085079193115,1,15,15,321,0,0,0,9,6,3,24,0,6,233,210,205,188,0,4,14,15,195,213,237,213,14,17
2024-09-15 20:18:37,23.27801203727722,10,30,740.299999999982,194.45916952192783,0,15,15,362,0,0,0,12,6,2,24,0,6,232,223,206,229,0,4,18,15,233,211,236,231,18,18
2024-09-15 20:18:37,24.073785066604614,10,4,629.0599999999862,173.1142444461584,1,17,17,328,0,0,0,13,8,2,18,0,8,200,201,185,205,0,2,15,17,208,188,202,206,15,22
2024-09-15 20:18:37,24.964603185653687,10,23,723.6399999999801,210.7041143104434,0,14,14,352,0,0,0,11,6,1,21,0,6,251,229,270,220,0,4,25,14,222,277,257,233,25,16
2024-09-15 20:18:37,25.954268217086792,10,49,957.4799999999748,237.93814498186111,0,25,25,445,0,0,0,26,4,3,26,0,4,270,271,263,288,0,6,22,25,291,269,274,282,22,27
2024-09-15 20:18:37,26.66914701461792,10,17,613.5599999999853,176.5339189171791,2,19,19,311,0,0,0,15,7,2,33,0,7,245,172,179,187,0,3,8,19,190,182,248,186,8,29
2024-09-15 20:18:37,26.797570943832397,10,8,7.519999999999933,32.94826126098633,6,11,11,54,0,0,0,1,10,7,34,0,10,41,30,25,3,0,0,1,11,4,26,41,30,1,43
2024-09-15 20:18:37,26.887593030929565,10,5,-47.85999999999987,24.99118533730507,9,10,10,28,0,0,0,0,10,9,38,0,10,22,11,15,3,0,0,2,10,4,15,23,11,2,46
